aso_id	match_class	exact_shank3_match	approximate_shank3_match	feature_type	transcript_id	gene_symbol	chrom	start	end	strand	mismatches	query_coord_space	support_note	neuronal_expression_support	isoform_shared	rank_score	status	warning	feature_rank	rank
ASO_4_5_2_4	exact_transcript_rc	TRUE	FALSE	transcript_exon_spliced	ENST00000414786.7	SHANK3	chr22	5599	5616	+	0	transcript	Exact reverse-complement match in SHANK3 spliced transcript	SHANK3_neuronal_gene	FALSE	103	ok		3	1
ASO_4_5_2_4	exact_transcript_rc	TRUE	FALSE	transcript_exon_spliced	ENST00000673971.2	SHANK3	chr22	6295	6312	+	0	transcript	Exact reverse-complement match in SHANK3 spliced transcript	SHANK3_neuronal_gene	FALSE	103	ok		3	2
ASO_4_5_2_4	exact_transcript_rc	TRUE	FALSE	transcript_exon_spliced	ENST00000262795.7	SHANK3	chr22	5465	5482	+	0	transcript	Exact reverse-complement match in SHANK3 spliced transcript	SHANK3_neuronal_gene	FALSE	103	ok		3	3
ASO_4_5_2_4	exact_transcript_rc	TRUE	FALSE	transcript_exon_spliced	ENST00000445220.7	SHANK3	chr22	4067	4084	+	0	transcript	Exact reverse-complement match in SHANK3 spliced transcript	SHANK3_neuronal_gene	FALSE	103	ok		3	4
ASO_4_5_2_4	exact_transcript_rc	TRUE	FALSE	transcript_exon_spliced	ENST00000664402.2	SHANK3	chr22	3961	3978	+	0	transcript	Exact reverse-complement match in SHANK3 spliced transcript	SHANK3_neuronal_gene	FALSE	103	ok		3	5
ASO_4_5_2_4	exact_transcript_rc	TRUE	FALSE	transcript_exon_spliced	ENST00000710353.1	SHANK3	chr22_KQ759762v2_fix	5982	5999	+	0	transcript	Exact reverse-complement match in SHANK3 spliced transcript	SHANK3_neuronal_gene	FALSE	103	ok		3	6
ASO_4_5_2_4	approx_transcript_rc_mm2	FALSE	TRUE	transcript_exon_spliced	ENST00000659388.1	SHANK3	chr22	919	936	+	2	transcript	Approximate RC match (2 mismatch) in SHANK3 transcript	SHANK3_neuronal_gene	FALSE	63	ok	approximate_only	3	7
ASO_4_5_2_6	exact_transcript_rc	TRUE	FALSE	transcript_exon_spliced	ENST00000414786.7	SHANK3	chr22	5563	5580	+	0	transcript	Exact reverse-complement match in SHANK3 spliced transcript	SHANK3_neuronal_gene	FALSE	103	ok		3	1
ASO_4_5_2_6	exact_transcript_rc	TRUE	FALSE	transcript_exon_spliced	ENST00000673971.2	SHANK3	chr22	6259	6276	+	0	transcript	Exact reverse-complement match in SHANK3 spliced transcript	SHANK3_neuronal_gene	FALSE	103	ok		3	2
ASO_4_5_2_6	exact_transcript_rc	TRUE	FALSE	transcript_exon_spliced	ENST00000262795.7	SHANK3	chr22	5429	5446	+	0	transcript	Exact reverse-complement match in SHANK3 spliced transcript	SHANK3_neuronal_gene	FALSE	103	ok		3	3
ASO_4_5_2_6	exact_transcript_rc	TRUE	FALSE	transcript_exon_spliced	ENST00000445220.7	SHANK3	chr22	4031	4048	+	0	transcript	Exact reverse-complement match in SHANK3 spliced transcript	SHANK3_neuronal_gene	FALSE	103	ok		3	4
ASO_4_5_2_6	exact_transcript_rc	TRUE	FALSE	transcript_exon_spliced	ENST00000664402.2	SHANK3	chr22	3925	3942	+	0	transcript	Exact reverse-complement match in SHANK3 spliced transcript	SHANK3_neuronal_gene	FALSE	103	ok		3	5
ASO_4_5_2_6	exact_transcript_rc	TRUE	FALSE	transcript_exon_spliced	ENST00000659388.1	SHANK3	chr22	883	900	+	0	transcript	Exact reverse-complement match in SHANK3 spliced transcript	SHANK3_neuronal_gene	FALSE	103	ok		3	6
ASO_4_5_2_6	exact_transcript_rc	TRUE	FALSE	transcript_exon_spliced	ENST00000710353.1	SHANK3	chr22_KQ759762v2_fix	5946	5963	+	0	transcript	Exact reverse-complement match in SHANK3 spliced transcript	SHANK3_neuronal_gene	FALSE	103	ok		3	7
